Date,PM25,pm25cnc,pm10cnc,temp,rh,hour,hour_sin,hour_cos,rh_11,(PM25)t-25,(PM10)t-25,(PM25)t-24,(PM10)t-24,(PM25)t-23,(PM10)t-23,(PM25)t-3,(PM10)t-3,(PM25)t-2,(PM10)t-2,(PM25)t-1,(PM10)t-1,p1p2,p1r,p1t,p2r,p2t,p1rt,p2rt,p1p2rt
2021-01-18 01:00:00,130.28,193.6349206,208.015873,24.55555556,53.92063492,2,0.49999999999999994,0.8660254037844387,54.939531140756074,245.4920635,263.7777778,251.6451613,271.1612903,222.9516129,240.62903230000003,156.17460319999995,165.3650794,168.7903226,179.6290323,155.5,164.7580645,40279.13705189468,10440.917861435786,4754.813051149488,11216.347945598085,5107.945326813404,256382.5386438828,275423.6551584256,53331637.59796351
2021-01-18 02:00:00,148.04,169.4354839,181.1774194,24.0,52.33870968,3,0.7071067811865476,0.7071067811865476,53.35818815942095,251.6451613,271.1612903,222.9516129,240.62903230000003,205.0483871,219.483871,168.7903226,179.6290323,155.5,164.7580645,193.6349206,208.015873,30697.883727792247,8868.034601332414,4066.4516136,9482.5923545482,4348.2580656,212832.83043197793,227582.2165091568,38560502.98126355
2021-01-18 03:00:00,123.61,112.6031746,118.6666667,24.0,53.6984127,4,0.8660254037844386,0.5000000000000001,54.71738860361389,222.9516129,240.62903230000003,205.0483871,219.483871,206.7301587,220.8095238,155.5,164.7580645,193.6349206,208.015873,169.4354839,181.1774194,13362.243389620106,6046.611741000957,2702.4761904,6372.211642189946,2848.0000007999997,145118.68178402298,152933.0794125587,17220750.243208013
2021-01-18 04:00:00,90.17,135.28571430000002,148.9206349,24.0,53.66666667,5,0.9659258262890683,0.25881904510252074,54.68565401177095,205.0483871,219.483871,206.7301587,220.8095238,226.1746032,242.7460317,193.6349206,208.015873,169.4354839,181.1774194,112.6031746,118.6666667,20146.834466456014,7260.333334550954,3246.857143200001,7992.074073463069,3574.0952376000005,174248.0000292229,191809.77776311367,25949122.794407092
2021-01-18 05:00:00,151.61,120.2741935,130.0483871,23.43548387,55.17741935,6,1.0,6.123233995736766e-17,56.19587722436902,206.7301587,220.8095238,226.1746032,242.7460317,206.0806452,221.3870968,169.4354839,181.1774194,112.6031746,118.6666667,135.28571430000002,148.9206349,15641.464874428304,6636.419611732544,2818.6839217465085,7175.734390807831,3047.7468782015662,155527.7047653097,168166.80757118118,20226127.15409351
2021-01-18 06:00:00,121.6,109.2539683,117.1587302,23.0,53.6031746,7,0.9659258262890683,-0.25881904510252063,54.622184859506284,226.1746032,242.7460317,206.0806452,221.3870968,204.8253968,219.5555556,112.6031746,118.6666667,135.28571430000002,148.9206349,120.2741935,130.0483871,12800.056195339052,5856.359538527765,2512.8412709,6280.079870824893,2694.6507945999997,134696.2693861386,144441.83702897254,15780843.88395713
2021-01-18 07:00:00,101.68,105.9516129,113.5967742,23.82258065,51.06451613,8,0.8660254037844387,-0.4999999999999998,52.08449035680374,206.0806452,221.3870968,204.8253968,219.5555556,210.70967740000003,226.6129032,135.28571430000002,148.9206349,120.2741935,130.0483871,109.2539683,117.1587302,12035.761446727107,5410.367845931566,2524.04084330783,5800.764308451868,2706.168314959339,128888.9243558715,138189.17556973608,14641366.036934817
2021-01-18 08:00:00,102.72,98.66666667,105.1904762,25.14285714,48.31746032,9,0.7071067811865476,-0.7071067811865475,49.33859416770098,204.8253968,219.5555556,210.70967740000003,226.6129032,201.6349206,216.8412698,120.2741935,130.0483871,109.2539683,117.1587302,105.9516129,113.5967742,10378.793652083968,4767.322751734391,2480.7619045638094,5082.536659835405,2644.7891155851703,119864.11488712949,127789.49314705437,12608563.324268661
2021-01-18 09:00:00,86.45,97.38709677,104.0967742,26.27419355,45.32258065,10,0.49999999999999994,-0.8660254037844387,46.34514251317076,210.70967740000003,226.6129032,201.6349206,216.8412698,172.7903226,185.016129,109.2539683,117.1587302,105.9516129,113.5967742,98.66666667,105.1904762,10137.68262246024,4413.834547627679,2558.76742980756,4717.934444084339,2735.058793261446,115969.94320204633,123959.92274008357,12072096.991490241
2021-01-18 10:00:00,90.45,86.58730159,92.66666667,28.41269841,39.80952381,11,0.258819045102521,-0.9659258262890682,40.835290681165326,201.6349206,216.8412698,172.7903226,185.016129,141.23809519999998,149.952381,105.9516129,113.5967742,98.66666667,105.1904762,97.38709677,104.0967742,8023.75661429529,3446.999244290756,2460.1788862123835,3689.0158731926986,2632.910052754709,97938.54994753117,104814.89543472695,9075638.962131016
