Date,PM25,pm25cnc,pm10cnc,temp,rh,hour,hour_sin,hour_cos,rh_11,(PM25)t-25,(PM10)t-25,(PM25)t-24,(PM10)t-24,(PM25)t-23,(PM10)t-23,(PM25)t-3,(PM10)t-3,(PM25)t-2,(PM10)t-2,(PM25)t-1,(PM10)t-1,p1p2,p1r,p1t,p2r,p2t,p1rt,p2rt,p1p2rt
2020-11-02 01:00:00,41.52,44.9047619,55.47619048,24.0,61.92063492,2,0.49999999999999994,0.8660254037844387,62.93704971937484,69.34920635,79.36507937,49.73015873,62.85714286,61.85483871,72.77419355,52.28571429,65.55555556,56.70967742,68.74193548,49.36507937,61.42857143,2491.1451246234465,2780.531367779425,1077.7142856,3435.1209374644595,1331.4285715199999,66732.7528267062,82442.90249914702,3702078.9070691112
2020-11-02 02:00:00,34.7,50.26984127,62.79365079,24.0,66.12698413,3,0.7071067811865476,0.7071067811865476,67.14233874857106,49.73015873,62.85714286,61.85483871,72.77419355,63.6984127,75.0,56.70967742,68.74193548,49.36507937,61.42857143,44.9047619,55.47619048,3156.6268579771104,3324.1929958789087,1206.47619048,4152.3547492550915,1507.04761896,79780.63190109382,99656.5139821222,5009717.139402819
2020-11-02 03:00:00,41.04,48.66129032,61.06451613,24.0,66.88709677,4,0.8660254037844386,0.5000000000000001,67.90227424858114,61.85483871,72.77419355,63.6984127,75.0,45.98412698,57.82539683,49.36507937,61.42857143,44.9047619,55.47619048,50.26984127,62.79365079,2971.478147652253,3254.812434586904,1167.87096768,4084.428199600536,1465.54838712,78115.4984300857,98026.27679041287,4770085.113886958
2020-11-02 04:00:00,36.72,57.55555556,67.92063492,24.44444444,64.0952381,5,0.9659258262890683,0.25881904510252074,65.11108715660258,63.6984127,75.0,45.98412698,57.82539683,44.82539683,55.95238095,44.9047619,55.47619048,50.26984127,62.79365079,48.66129032,61.06451613,3909.209876808536,3689.037037595979,1406.9135800997533,4353.389267100574,1660.282186631464,90176.46090261711,106416.18206533231,6124842.47934431
2020-11-02 05:00:00,53.61,91.55555556,98.33333333,24.95238095,67.82539683,6,1.0,6.123233995736766e-17,68.84036120054529,45.98412698,57.82539683,44.82539683,55.95238095,45.72580645,57.01612903,50.26984127,62.79365079,48.66129032,61.06451613,57.55555556,67.92063492,9002.962963094815,6209.791887848113,2284.5291004220103,6669.497354723916,2453.650793333492,154949.0928058058,166419.83874008842,15236660.792054404
2020-11-02 06:00:00,76.24,100.1290323,108.0,24.85483871,67.79032258,7,0.9659258262890683,-0.25881904510252063,68.80529480893036,44.82539683,55.95238095,45.72580645,57.01612903,80.09523809999997,88.09523809999997,48.66129032,61.06451613,57.55555556,67.92063492,91.55555556,98.33333333,10813.9354884,6787.779399240239,2488.6909480048803,7321.35483864,2684.32258068,168709.16216717684,181971.09365307525,18220589.514055096
2020-11-02 07:00:00,83.4,96.16129032,104.0645161,25.83870968,65.19354839,8,0.8660254037844387,-0.4999999999999998,66.20912627944654,45.72580645,57.01612903,80.09523809999997,88.09523809999997,77.57142857,85.34920635,57.55555556,67.92063492,91.55555556,98.33333333,100.1290323,108.0,10006.978144702416,6269.09573372176,2484.6836630326748,6784.335066047285,2688.892819497586,161985.34461976314,175298.46414343943,16856926.50314739
2020-11-02 08:00:00,85.76,83.68253968,90.14285714,27.82539683,60.73015873,9,0.7071067811865476,-0.7071067811865475,61.74690069120122,80.09523809999997,88.09523809999997,77.57142857,85.34920635,52.79032258,66.24193548,91.55555556,98.33333333,100.1290323,108.0,96.16129032,104.0645161,7543.383219486622,5082.053917695924,2328.499874338221,5474.390022487914,2508.260771310499,141410.16697134523,152327.07477791884,12747116.47944152
2020-11-02 09:00:00,78.1,86.16129032,93.67741935,29.85483871,50.32258065,10,0.49999999999999994,-0.8660254037844387,51.34285533933744,77.57142857,85.34920635,52.79032258,66.24193548,50.26984127,63.34920635,100.1290323,108.0,96.16129032,104.0645161,83.68253968,90.14285714,8071.367325043736,4335.8584810362645,2572.3314255490845,4714.089490324245,2796.724245463283,129446.35562072326,140738.38139813644,12126200.538811723
2020-11-02 10:00:00,87.57,86.07936508,93.04761905,36.42857143,39.88888889,11,0.258819045102521,-0.9659258262890682,40.914603175713545,52.79032258,66.24193548,50.26984127,63.34920635,45.06349206,56.42857143,96.16129032,104.0645161,83.68253968,90.14285714,86.16129032,93.67741935,8009.479970029713,3433.6102293978656,3135.7482994658276,3711.566137764497,3389.5918369543533,125081.51550439883,135207.05216672318,11638537.20484997
