Date,PM25,pm25cnc,pm10cnc,temp,rh,hour,hour_sin,hour_cos,rh_11,(PM25)t-25,(PM10)t-25,(PM25)t-24,(PM10)t-24,(PM25)t-23,(PM10)t-23,(PM25)t-3,(PM10)t-3,(PM25)t-2,(PM10)t-2,(PM25)t-1,(PM10)t-1,p1p2,p1r,p1t,p2r,p2t,p1rt,p2rt,p1p2rt
2020-11-02 02:00:00,83.36,88.65079365,100.3015873,27.06349206,53.80952381,3,0.7071067811865476,0.7071067811865476,54.828459788358714,74.90322581,85.17741935,82.04761905,92.68253968,73.77419355,83.69354839,67.53968254,79.49206349,76.11111111,85.46031746,85.5,96.79032258,8891.815318499759,4770.256991685072,2399.2000500594736,5397.180650000143,2714.511211498947,129099.81221862843,146066.5556676645,12948916.085660364
2020-11-02 03:00:00,84.93,62.06349206,74.69841269999998,27.0,49.0,4,0.8660254037844386,0.5000000000000001,50.020833333333336,82.04761905,92.68253968,73.77419355,83.69354839,73.47619048,83.09523809999997,76.11111111,85.46031746,85.5,96.79032258,88.65079365,100.3015873,4636.044343501052,3041.11111094,1675.71428562,3660.222222299999,2016.8571428999994,82109.99999538,98826.00000209997,6133486.666451892
2020-11-02 04:00:00,64.08,78.27419355,89.9516129,27.0,53.75806452,5,0.9659258262890683,0.25881904510252074,54.7770189681796,73.77419355,83.69354839,73.47619048,83.09523809999997,70.38095238,81.22222222,85.5,96.79032258,88.65079365,100.3015873,62.06349206,74.69841269999998,7040.8899582692775,4207.869147111868,2113.40322585,4835.624609956264,2428.6935483,113612.46697202044,130561.86446881913,10219624.649681218
2020-11-02 05:00:00,76.17,91.15873016,102.7619048,27.0,55.44444444,6,1.0,6.123233995736766e-17,56.46281178694027,73.47619048,83.09523809999997,70.38095238,81.22222222,89.17741935,102.0806452,88.65079365,100.3015873,62.06349206,74.69841269999998,78.27419355,89.9516129,9367.64475039081,5054.245149577072,2461.28571432,5697.576721232169,2774.5714296,136464.61903858095,153834.57147326856,14023364.190210924
2020-11-02 06:00:00,78.83,107.2096774,120.9032258,27.0,58.88709677,7,0.9659258262890683,-0.25881904510252063,59.90437177696698,70.38095238,81.22222222,89.17741935,102.0806452,128.7777778,147.5714286,62.06349206,74.69841269999998,78.27419355,89.9516129,91.15873016,102.7619048,12961.995834637357,6313.266647734282,2894.6612898000003,7119.6399574897605,3264.3870966,170458.1994888256,192230.27885222354,20608946.182258926
2020-11-02 07:00:00,89.38,122.047619,137.90476189999998,27.57142857,56.36507937,8,0.8660254037844387,-0.4999999999999998,57.383141296603895,89.17741935,102.0806452,128.7777778,147.5714286,105.5396825,120.4603175,78.27419355,89.9516129,91.15873016,102.7619048,107.2096774,120.9032258,16830.947838656914,6879.223731854519,3365.027209397075,7773.01284999445,3802.231292188707,189670.0257398757,214313.0685673141,26156399.73922443
2020-11-02 08:00:00,105.17,140.8571429,158.19047619999995,30.0952381,50.69841270000001,9,0.7071067811865476,-0.7071067811865475,51.71853406697478,128.7777778,147.5714286,105.5396825,120.4603175,96.37096774,108.14516129999998,91.15873016,102.7619048,107.2096774,120.9032258,122.047619,137.90476189999998,22282.258511522443,7141.2335624870775,4239.1292536612245,8020.006047597127,4760.780046391382,214917.12439075983,241363.99156587545,33997842.25090892
2020-11-02 09:00:00,118.09,124.4193548,139.9193548,34.43548387,39.20967742,10,0.49999999999999994,-0.8660254037844387,40.23584880032881,105.5396825,120.4603175,96.37096774,108.14516129999998,62.41935484,72.58064516,107.2096774,120.9032258,122.047619,137.90476189999998,140.8571429,158.19047619999995,17408.675848248284,4878.442766512529,4284.440685331207,5486.1927665225285,4818.190685316207,167991.53719696036,188919.7025192972,23505267.49645889
2020-11-02 10:00:00,116.33,84.46031746,93.03174603,38.14285714,28.9047619,11,0.258819045102521,-0.9659258262890682,29.940598077480516,96.37096774,108.14516129999998,62.41935484,72.58064516,64.15873016,72.92063492,122.047619,137.90476189999998,140.8571429,158.19047619999995,124.4193548,139.9193548,7857.490803551894,2441.3053661797126,3221.5578228758272,2689.06046813842,3548.4965983070515,93118.36181730816,102568.44927702527,8662963.787317462
2020-11-02 11:00:00,86.08,70.96774194,78.27419355,41.19354839,19.51612903,12,1.2246467991473532e-16,-1.0,20.5701359986477,62.41935484,72.58064516,64.15873016,72.92063492,65.06451613,73.32258065,140.8571429,158.19047619999995,124.4193548,139.9193548,84.46031746,93.03174603,5554.942768418013,1385.0156086687823,2923.4131117344223,1527.6092610409937,3224.391779690151,57053.70749660278,62927.64601570431,4465832.9433341725
2020-11-02 12:00:00,76.6,84.0,92.22222222,42.25396825,19.47619048,13,-0.2588190451025208,-0.9659258262890683,20.530314191329047,64.15873016,72.92063492,65.06451613,73.32258065,45.34920635,57.38095238,124.4193548,139.9193548,84.46031746,93.03174603,70.96774194,78.27419355,7746.6666664800005,1636.00000032,3549.333333,1796.1375664456086,3896.754849628325,69127.49207052127,75893.93970522501,6375090.935238901
2020-11-02 13:00:00,84.2,102.7936508,112.4761905,40.80952381,28.46031746,14,-0.4999999999999997,-0.8660254037844388,29.49673364497152,65.06451613,73.32258065,45.34920635,57.38095238,47.15873016,60.33333333,84.46031746,93.03174603,70.96774194,78.27419355,84.0,92.22222222,11561.838249571278,2925.539934640383,4194.959939839426,3201.108088321436,4590.099774267846,119389.89161981255,130635.69674873723,13428520.19360439
